# x, y, z
3, -6, 3.68
4.4, -6, 4.07
5.8, -6, 4.26
7.2, -6, 4.25
8.6, -6, 4.04
10, -6, 3.63
3, -3.6, 4.04
4.4, -3.6, 4.43
5.8, -3.6, 4.62
7.2, -3.6, 4.61
8.6, -3.6, 4.4
10, -3.6, 3.99
3, -1.2, 4.4
4.4, -1.2, 4.79
5.8, -1.2, 4.98
7.2, -1.2, 4.97
8.6, -1.2, 4.76
10, -1.2, 4.35
3, 1.2, 4.36
4.4, 1.2, 4.75
5.8, 1.2, 4.94
7.2, 1.2, 4.93
8.6, 1.2, 4.72
10, 1.2, 4.35
3, 3.6, 4.36
4.4, 3.6, 4.75
5.8, 3.6, 4.58
7.2, 3.6, 4.57
8.6, 3.6, 4.36
10, 3.6, 3.95
3, 6, 3.64
4.4, 6, 4.03
5.8, 6, 4.22
7.2, 6, 4.21
8.6, 6, 4
10, 6, 3.59
